Date : 2022-09-03 16:37:23
Directory : d:\Projects\nodens-engine
Total : 2765 files,  623383 codes, 91567 comments, 84240 blanks, all 799190 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\Graph.cpp                                          | C++              |        460 |        204 |        104 |        768 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\Graph.h                                            | C++              |         94 |         12 |         15 |        121 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\Grid.cpp                                           | C++              |        611 |        224 |        129 |        964 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\Grid.h                                             | C++              |         38 |          4 |         11 |         53 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\auxilarMain.cpp                                    | C++              |        500 |        166 |        120 |        786 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\auxiliarMain.h                                     | C++              |         39 |          8 |         11 |         58 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\functions.h                                        | C++              |         39 |         16 |         13 |         68 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\graphics.cpp                                       | C++              |         68 |          1 |         12 |         81 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\initialCondition.cpp                               | C++              |         13 |         11 |          5 |         29 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\keybord.cpp                                        | C++              |        102 |         28 |         15 |        145 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\main.cpp                                           | C++              |        111 |         24 |         32 |        167 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\mouse.cpp                                          | C++              |        267 |         87 |         52 |        406 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\refinement.cpp                                     | C++              |        427 |        204 |         65 |        696 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\table.cpp                                          | C++              |        416 |        104 |         40 |        560 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 2D CLUSTER 2010\table.h                                            | C++              |         35 |         15 |         24 |         74 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG-3D_private.h                                           | C++              |         17 |          3 |          4 |         24 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions\exceptions.cpp                              | C++              |         39 |         35 |          9 |         83 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions\exceptions.h                                | C++              |         20 |          3 |          6 |         29 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions\invalidParameterValue.cpp                   | C++              |         33 |          9 |          9 |         51 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions\invalidParameterValue.h                     | C++              |         14 |          3 |          5 |         22 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions\nullPointer.cpp                             | C++              |          3 |          9 |          3 |         15 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions\nullPointer.h                               | C++              |          9 |          3 |          4 |         16 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell\cell.cpp                                     | C++              |         50 |         18 |         13 |         81 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell\cell.h                                       | C++              |         72 |         27 |         24 |        123 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell\cell_derefinement.cpp                        | C++              |        393 |         71 |         59 |        523 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell\cell_draw.cpp                                | C++              |        129 |         30 |         18 |        177 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell\cell_flux.cpp                                | C++              |        153 |         29 |         34 |        216 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell\cell_refinement.cpp                          | C++              |        764 |        322 |        177 |      1,263 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid.cpp                                          | C++              |        235 |         57 |         56 |        348 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid.h                                            | C++              |         47 |         10 |         16 |         73 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid_derefinement.cpp                             | C++              |        301 |         59 |         27 |        387 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid_domain.cpp                                   | C++              |         92 |         35 |         30 |        157 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid_draw.cpp                                     | C++              |        302 |         43 |         40 |        385 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid_flux.cpp                                     | C++              |         30 |          7 |          6 |         43 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\grid_refinement.cpp                               | C++              |         78 |         21 |         11 |        110 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Demo\demo.cpp                                    | C++              |        113 |         54 |         27 |        194 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Demo\demo.h                                      | C++              |         24 |          6 |          9 |         39 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Display\camera.cpp                               | C++              |         76 |         30 |         19 |        125 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Display\camera.h                                 | C++              |         19 |          3 |          6 |         28 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Display\display.cpp                              | C++              |        240 |         84 |         60 |        384 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Display\display.h                                | C++              |         40 |         10 |         17 |         67 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Keyboard\keyboard.cpp                            | C++              |        214 |         44 |         53 |        311 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Keyboard\keyboard.h                              | C++              |         17 |          6 |          6 |         29 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Mouse\mouse.cpp                                  | C++              |        273 |         98 |         51 |        422 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\Mouse\mouse.h                                    | C++              |         29 |          6 |          8 |         43 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\controller.cpp                                   | C++              |         31 |         15 |         10 |         56 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\controller.h                                     | C++              |         28 |          6 |         10 |         44 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\Interface\main.cpp                                         | C++              |         42 |         25 |         14 |         81 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\System\gl2ps.c                                             | C                |      4,888 |        373 |        728 |      5,989 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\System\gl2ps.h                                             | C++              |        119 |         48 |         30 |        197 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\System\graphics.cpp                                        | C++              |        170 |        112 |         29 |        311 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\System\graphics.h                                          | C++              |         13 |          0 |          3 |         16 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2009\System\opengl.h                                            | C++              |          6 |          0 |          3 |          9 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\BondarenkoDXAdpt.sh                              | Shell Script     |          1 |         10 |          1 |         12 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\makefile                                         | Makefile         |         87 |         23 |         41 |        151 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions\exceptions.cpp             | C++              |         39 |         33 |         10 |         82 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions\exceptions.h               | C++              |         20 |          8 |          7 |         35 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions\invalidArgumentValue.cpp   | C++              |         36 |         48 |         10 |         94 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions\invalidArgumentValue.h     | C++              |         14 |          9 |          5 |         28 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions\nullPointer.cpp            | C++              |          3 |         13 |          3 |         19 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions\nullPointer.h              | C++              |          9 |          9 |          4 |         22 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\StopWatch.cpp                    | C++              |         28 |          6 |         10 |         44 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\StopWatch.h                      | C++              |         13 |          1 |          5 |         19 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\cell.cpp                    | C++              |         65 |         34 |         17 |        116 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\cell.h                      | C++              |         78 |         46 |         31 |        155 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\cell_derefinement.cpp       | C++              |        392 |         97 |         64 |        553 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\cell_draw.cpp               | C++              |         99 |         18 |         15 |        132 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\cell_flux.cpp               | C++              |        111 |         83 |         29 |        223 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\cell_refinement.cpp         | C++              |        781 |        261 |        176 |      1,218 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\element.cpp                 | C++              |         10 |          4 |          4 |         18 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell\element.h                   | C++              |         15 |          7 |          9 |         31 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid.cpp                         | C++              |        236 |         56 |         51 |        343 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid.h                           | C++              |         55 |         18 |         18 |         91 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid_derefinement.cpp            | C++              |        306 |         51 |         27 |        384 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid_domain.cpp                  | C++              |         92 |         43 |         30 |        165 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid_flux.cpp                    | C++              |         30 |         10 |          6 |         46 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid_refinement.cpp              | C++              |         81 |         31 |         12 |        124 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\grid_wave.cpp                    | C++              |        572 |         70 |        140 |        782 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\opts.h                           | C++              |        138 |         10 |         31 |        179 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\main.cpp                                  | C++              |         17 |         17 |          9 |         43 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\models\constants.h                        | C++              |          5 |          6 |          4 |         15 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\models\fhn.cpp                            | C++              |         38 |          6 |         17 |         61 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\models\fhn.h                              | C++              |         10 |          1 |          7 |         18 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\models\luo_rudy.cpp                       | C++              |        150 |         35 |         18 |        203 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\models\luo_rudy.h                         | C++              |         10 |          7 |          7 |         24 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\BondarenkoDXAdpt.sh                                      | Shell Script     |          1 |         10 |          1 |         12 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\makefile                                                 | Makefile         |         87 |         23 |         41 |        151 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions\exceptions.cpp                     | C++              |         39 |         33 |         10 |         82 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions\exceptions.h                       | C++              |         20 |          8 |          7 |         35 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions\invalidArgumentValue.cpp           | C++              |         36 |         48 |         10 |         94 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions\invalidArgumentValue.h             | C++              |         14 |          9 |          5 |         28 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions\nullPointer.cpp                    | C++              |          3 |         13 |          3 |         19 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions\nullPointer.h                      | C++              |          9 |          9 |          4 |         22 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\StopWatch.cpp                            | C++              |         28 |          6 |         10 |         44 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\StopWatch.h                              | C++              |         13 |          1 |          5 |         19 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\cell.cpp                            | C++              |         65 |         34 |         17 |        116 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\cell.h                              | C++              |         78 |         46 |         31 |        155 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\cell_derefinement.cpp               | C++              |        392 |         97 |         64 |        553 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\cell_draw.cpp                       | C++              |         99 |         18 |         15 |        132 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\cell_flux.cpp                       | C++              |        111 |         83 |         29 |        223 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\cell_refinement.cpp                 | C++              |        781 |        261 |        176 |      1,218 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\element.cpp                         | C++              |         10 |          4 |          4 |         18 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell\element.h                           | C++              |         15 |          7 |          9 |         31 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid.cpp                                 | C++              |        236 |         56 |         51 |        343 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid.h                                   | C++              |         55 |         18 |         18 |         91 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid_derefinement.cpp                    | C++              |        306 |         51 |         27 |        384 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid_domain.cpp                          | C++              |         92 |         43 |         30 |        165 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid_flux.cpp                            | C++              |         30 |         10 |          6 |         46 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid_refinement.cpp                      | C++              |         81 |         31 |         12 |        124 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\grid_wave.cpp                            | C++              |        572 |         70 |        140 |        782 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\opts.h                                   | C++              |        138 |         10 |         31 |        179 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\main.cpp                                          | C++              |         17 |         17 |          9 |         43 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\models\constants.h                                | C++              |          5 |          6 |          4 |         15 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\models\fhn.cpp                                    | C++              |         38 |          6 |         17 |         61 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\models\fhn.h                                      | C++              |         10 |          1 |          7 |         18 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\models\luo_rudy.cpp                               | C++              |        150 |         35 |         18 |        203 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG 3D Rafael\source\models\luo_rudy.h                                 | C++              |         10 |          7 |          7 |         24 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ALG Reference.vcxproj                                                  | XML              |         70 |          0 |          0 |         70 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG-3D_private.h                                   | C++              |         17 |          3 |          4 |         24 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions\exceptions.cpp                      | C++              |         39 |         35 |          9 |         83 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions\exceptions.h                        | C++              |         20 |          3 |          6 |         29 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions\invalidParameterValue.cpp           | C++              |         33 |          9 |          9 |         51 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions\invalidParameterValue.h             | C++              |         14 |          3 |          5 |         22 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions\nullPointer.cpp                     | C++              |          3 |          9 |          3 |         15 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions\nullPointer.h                       | C++              |          9 |          3 |          4 |         16 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell\cell.cpp                             | C++              |         50 |         18 |         13 |         81 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell\cell.h                               | C++              |         72 |         27 |         24 |        123 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell\cell_derefinement.cpp                | C++              |        393 |         71 |         59 |        523 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell\cell_draw.cpp                        | C++              |        129 |         30 |         18 |        177 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell\cell_flux.cpp                        | C++              |        153 |         29 |         34 |        216 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell\cell_refinement.cpp                  | C++              |        764 |        322 |        177 |      1,263 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid.cpp                                  | C++              |        235 |         57 |         56 |        348 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid.h                                    | C++              |         47 |         10 |         16 |         73 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid_derefinement.cpp                     | C++              |        301 |         59 |         27 |        387 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid_domain.cpp                           | C++              |         92 |         35 |         30 |        157 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid_draw.cpp                             | C++              |        302 |         43 |         40 |        385 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid_flux.cpp                             | C++              |         30 |          7 |          6 |         43 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\grid_refinement.cpp                       | C++              |         78 |         21 |         11 |        110 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Demo\demo.cpp                            | C++              |        113 |         54 |         27 |        194 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Demo\demo.h                              | C++              |         24 |          6 |          9 |         39 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Display\camera.cpp                       | C++              |         76 |         30 |         19 |        125 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Display\camera.h                         | C++              |         19 |          3 |          6 |         28 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Display\display.cpp                      | C++              |        240 |         84 |         60 |        384 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Display\display.h                        | C++              |         40 |         10 |         17 |         67 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Keyboard\keyboard.cpp                    | C++              |        214 |         44 |         53 |        311 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Keyboard\keyboard.h                      | C++              |         17 |          6 |          6 |         29 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Mouse\mouse.cpp                          | C++              |        273 |         98 |         51 |        422 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Mouse\mouse.h                            | C++              |         29 |          6 |          8 |         43 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\controller.cpp                           | C++              |         31 |         15 |         10 |         56 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\controller.h                             | C++              |         28 |          6 |         10 |         44 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\main.cpp                                 | C++              |         42 |         25 |         14 |         81 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\System\gl2ps.c                                     | C                |      4,888 |        373 |        728 |      5,989 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\System\gl2ps.h                                     | C++              |        119 |         48 |         30 |        197 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\System\graphics.cpp                                | C++              |        170 |        112 |         29 |        311 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\System\graphics.h                                  | C++              |         13 |          0 |          3 |         16 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\System\opengl.h                                    | C++              |          6 |          0 |          3 |          9 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\acmtrans2m.cls                                | TeX              |      1,020 |        298 |        143 |      1,461 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\algc.sty                                      | TeX              |         21 |         28 |          1 |         50 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\algorithm.sty                                 | TeX              |         65 |         26 |          6 |         97 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\algorithmic.sty                               | TeX              |        159 |         31 |          3 |        193 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\algorithmicx.sty                              | TeX              |        646 |        140 |          1 |        787 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\algpseudocode.sty                             | TeX              |         66 |         26 |          1 |         93 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\application.tex                               | LaTeX            |        234 |          2 |         29 |        265 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\article.tex                                   | LaTeX            |         74 |         37 |         18 |        129 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\bibliography.bib                              | BibTeX           |        132 |          0 |         13 |        145 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\bibliography.tex                              | LaTeX            |         20 |          0 |         17 |         37 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\dataStructure.tex                             | LaTeX            |        154 |          4 |         20 |        178 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\derefinement.tex                              | LaTeX            |        493 |          0 |         52 |        545 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\hilbertCurve.tex                              | LaTeX            |        305 |          1 |         24 |        330 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\introduction.tex                              | LaTeX            |         25 |          0 |          6 |         31 |
| d:\Projects\nodens-engine\Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex\refinement.tex                                | LaTeX            |        616 |          4 |         79 |        699 |
